year,women_employed,total_employed,pct_women,date
2022,4513,65409,6.9,2022-01-01
2020,4690,59371,7.9,2020-01-01
2021,6382,66478,9.6,2021-01-01
2018,10021,84536,11.85,2018-01-01
2023,10088,90075,11.2,2023-01-01
2019,11020,79933,13.79,2019-01-01
